#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-29786B2AF3A3EC6A-F9902B122AF7F8B
#datatype	hitsStandard Results
#status	0
#Start time	2017-01-17T13:11:04	Run time	0:00:04:59
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Q5ZYA9_LEGPH	specific	133459	87	159	2.47122e-29	100.954	cd06850	biotinyl_domain	 - 	cl11404
Q#1 - >Q5ZYA9_LEGPH	superfamily	299706	87	159	2.47122e-29	100.954	cl11404	Biotinyl_lipoyl_domains superfamily	 - 	 - 
Q#1 - >Q5ZYA9_LEGPH	non-specific	180811	85	160	5.85822e-29	100.472	PRK07051	PRK07051	 - 	cl11404
Q#1 - >Q5ZYA9_LEGPH	specific	278778	85	159	2.84799e-24	88.4332	pfam00364	Biotin_lipoyl	 - 	cl11404
Q#1 - >Q5ZYA9_LEGPH	non-specific	223583	109	150	0.00694249	33.401	COG0509	GcvH	NC	cl11404
Q#1 - >Q5ZYA9_LEGPH	multi-dom	235777	1	160	1.2545e-79	231.225	PRK06302	PRK06302	 - 	 - 
Q#1 - >Q5ZYA9_LEGPH	multi-dom	273123	1	160	1.35195e-54	168.091	TIGR00531	BCCP	 - 	 - 
Q#1 - >Q5ZYA9_LEGPH	multi-dom	223585	6	160	1.5004e-42	137.129	COG0511	AccB	 - 	 - 
Q#1 - >Q5ZYA9_LEGPH	multi-dom	279622	52	121	0.00114838	36.8847	pfam01299	Lamp	C	 - 
Q#2 - >AROQ_LEGPH	specific	235443	1	145	5.84224e-91	258.831	PRK05395	PRK05395	 - 	cl00505
Q#2 - >AROQ_LEGPH	superfamily	294342	1	145	5.84224e-91	258.831	cl00505	DHQase_II superfamily	 - 	 - 
Q#2 - >AROQ_LEGPH	specific	279551	4	141	1.55506e-81	234.903	pfam01220	DHquinase_II	 - 	cl00505
Q#2 - >AROQ_LEGPH	specific	238262	3	142	6.811e-79	228.474	cd00466	DHQase_II	 - 	cl00505
Q#2 - >AROQ_LEGPH	specific	223828	2	145	7.09976e-75	218.238	COG0757	AroQ	 - 	cl00505
Q#2 - >AROQ_LEGPH	non-specific	130160	3	144	1.27384e-66	197.563	TIGR01088	aroQ	 - 	cl00505
Q#4 - >Q5ZYA6_LEGPH	specific	163675	12	286	0	513.903	cd07937	DRE_TIM_PC_TC_5S	 - 	cl21457
Q#4 - >Q5ZYA6_LEGPH	superfamily	304361	12	286	0	513.903	cl21457	TIM_phosphate_binding superfamily	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	specific	280576	297	483	2.43238e-73	231.948	pfam02436	PYC_OADA	 - 	cl20232
