#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-29786B2AF3A3EC6A-26FCD7F16D8A321C
#datatype	feats
#status	0
#Start time	2017-01-17T13:11:04	Run time	0:00:04:59
#status	success

Query	Type	Title	coordinates	complete size	mapped size	source domain
Q#1 - >Q5ZYA9_LEGPH	specific	biotinylation site	K126	1	1	133459
Q#1 - >Q5ZYA9_LEGPH	specific	carboxyltransferase (CT) interaction site	G116,M125,K126,M127,D134	5	5	133459
Q#2 - >AROQ_LEGPH	specific	active site	R18,Y23,N75,A77,A78,H81,D88,H101,L102,S103,R112	11	11	238262
Q#2 - >AROQ_LEGPH	specific	trimer interface	N11,N13,N52,A53,E54,A55,E56,Q59,H62,A78,A85,D88,A89,A92,R112	15	15	238262
Q#2 - >AROQ_LEGPH	specific	dimer interface	N104,F106,S107,S118,D119,A121,V122,G123,V124,S126,G127,L128,K131,L135,A139,K142	16	16	238262
Q#4 - >Q5ZYA6_LEGPH	specific	active site	R18,D19,Q22,E50,G54,L87,R89,C150,K180,H209,H211,H245	12	12	163675
Q#4 - >Q5ZYA6_LEGPH	specific	catalytic residues	R18,D19,E50	3	3	163675
Q#4 - >Q5ZYA6_LEGPH	specific	metal binding site	D19,K180,H209,H211	4	4	163675
Q#4 - >Q5ZYA6_LEGPH	specific	homodimer binding site	T187,T189,S214,L216,S218,Y222,E223,S237,S238,S240,A250,T256,L270	13	13	163675
Q#4 - >Q5ZYA6_LEGPH	specific	biotinylation site	K566	1	1	133459
Q#4 - >Q5ZYA6_LEGPH	specific	carboxyltransferase (CT) interaction site	G556,M565,K566,M567,P574	5	5	133459
Q#5 - >Q5ZYA5_LEGPH	specific	Zn binding site	H377,H381,E401	3	3	189004
Q#5 - >Q5ZYA5_LEGPH	specific	active site	N349,A350,V374,H377,E378,H381,Y392,E401,L437,R438,H463	11	11	189004
Q#7 - >Q5ZYA3_LEGPH	generic	putative catalytic site	N20,E53,H144,D178,N180,D221,D246,H247	8	8	197314
Q#7 - >Q5ZYA3_LEGPH	generic	putative metal binding site	E53,D246	2	2	197314
Q#7 - >Q5ZYA3_LEGPH	generic	putative phosphate binding site	H144,N180,H247	3	3	197314
Q#8 - >Q5ZYA2_LEGPH	generic	catalytic residue	K219	1	1	188635
Q#9 - >Q5ZYA1_LEGPH	specific	FAD binding pocket	F44,R58,S59,Y60,S61,A75,G77,F79,G82,G84,T85,T123,Y245	13	13	99792
Q#9 - >Q5ZYA1_LEGPH	specific	NAD binding pocket	T123,G124,G152,V153,Q154,G218,N219	7	7	99792
Q#9 - >Q5ZYA1_LEGPH	specific	FAD binding motif	R58,Y60,S61	3	3	99792
Q#9 - >Q5ZYA1_LEGPH	specific	phosphate binding motif	G82,T85,L88,G94,P102,G104	6	6	99792
Q#9 - >Q5ZYA1_LEGPH	specific	beta-alpha-beta structure motif	L118,S122,T123,G124,T125,P127	6	6	99792
Q#13 - >Q5ZY97_LEGPH	specific	active site	H15	1	1	238217
Q#13 - >Q5ZY97_LEGPH	specific	regulatory protein interface	L14,A16,R17,S19,A20,S24,A27,K45,S46,I47,M48,M51,M52	13	13	238217
Q#13 - >Q5ZY97_LEGPH	specific	regulatory phosphorylation site	S46	1	1	238217
Q#13 - >Q5ZY97_LEGPH	specific	dimerization domain swap beta strand	K5,I6,K7,I8	4	4	238217
Q#14 - >Q5ZY96_LEGPH	specific	30S subunit binding site	N4,T6,H8,K26,R29,R35,A36,V40,E44,T53,V56,T57,K58,G59,H62,S64,S67,D69,A72,I86,K87,K91	22	22	238308
Q#20 - >Q5ZY90_LEGPH	specific	metal binding site	H95,D209,E239,E240,E262,H351	6	6	193532
Q#20 - >Q5ZY90_LEGPH	specific	active site	H95,D209,E239,E240,M243,E262,V263,G264,I265,E321,Y324,G325,A350,H351	14	14	193532
Q#20 - >Q5ZY90_LEGPH	specific	oligomer interface	S48,G49,H50,R55,Q59,I71,D72,G75,M102,V103,E104,F111,I115,S123,Y126,A127,Q128,R129,V139,L140,Y142,F166,D168,I169,G170,P185,G186,S196,L198,R202,L204,R244,S247,T248,K251,A252,L282,G283,K284,V290,K293,M306,V320,Q332,A333,R348,Y349,Q352,A354,I356	50	50	193532
Q#24 - >PURA_LEGPH	specific	GDP-binding site	D14,G16,K17,G18,G41,H42,T43,K45,K332,D334,G417,P418	12	12	239382
Q#24 - >PURA_LEGPH	specific	IMP binding site	N39,I127,T130,Q225,T240	5	5	239382
Q#24 - >PURA_LEGPH	specific	ACT binding site	G16,K19,H42	3	3	239382
Q#27 - >Q5ZY83_LEGPH	specific	putative active site	Y7,Y18,G20,R28,H32,E65,N84	7	7	198395
Q#27 - >Q5ZY83_LEGPH	specific	putative metal binding site	E65	1	1	198395
Q#27 - >Q5ZY83_LEGPH	specific	GIY-YIG motif/motif A	Y5,A6,Y7,Y18,V19,G20	6	6	198395
Q#30 - >Q5ZY80_LEGPH	specific	putative PBP binding loops	Y75,I93,S165,Q177,A180,L190	6	6	119394
